tconst	titleType	primaryTitle	startYear	averageRating	numVotes
tt0119094	movie	Face/Off	1997	7.3	398789
tt0119116	movie	The Fifth Element	1997	7.6	502631
tt0119164	movie	The Full Monty	1997	7.2	113648
tt0119174	movie	The Game	1997	7.7	426420
tt0119177	movie	Gattaca	1997	7.7	321474
tt0119217	movie	Good Will Hunting	1997	8.3	1056757
tt0119282	movie	Hercules	1997	7.3	253043
tt0119396	movie	Jackie Brown	1997	7.5	372165
tt0119488	movie	L.A. Confidential	1997	8.2	614189
tt0119643	movie	Meet Joe Black	1998	7.2	262911
tt0119654	movie	Men in Black	1997	7.3	608629
tt0119698	movie	Princess Mononoke	1997	8.3	429624
tt0119822	movie	As Good as It Gets	1997	7.7	316789
tt0120102	movie	Seven Years in Tibet	1997	7.1	154917
tt0120188	movie	Three Kings	1999	7.1	179768
tt0120201	movie	Starship Troopers	1997	7.3	317710
tt0120338	movie	Titanic	1997	7.9	1271817
tt0120363	movie	Toy Story 2	1999	7.9	615958
tt0120382	movie	The Truman Show	1998	8.2	1184327
tt0120586	movie	American History X	1998	8.5	1179850
tt0120601	movie	Being John Malkovich	1999	7.7	351919
tt0120611	movie	Blade	1998	7.1	296511
tt0120616	movie	The Mummy	1999	7.1	457970
tt0120623	movie	A Bug's Life	1998	7.2	312614
tt0120630	movie	Chicken Run	2000	7.1	211186
tt0120655	movie	Dogma	1999	7.3	227689
tt0120660	movie	Enemy of the State	1998	7.3	257755
tt0120663	movie	Eyes Wide Shut	1999	7.5	372275
tt0120669	movie	Fear and Loathing in Las Vegas	1998	7.5	300090
tt0120689	movie	The Green Mile	1999	8.6	1396291
tt0120735	movie	Lock, Stock and Two Smoking Barrels	1998	8.1	612805
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	2001	8.9	1991343
tt0120762	movie	Mulan	1998	7.7	313919
tt0120768	movie	The Negotiator	1998	7.3	154102
tt0120784	movie	Payback	1999	7.1	144958
tt0120789	movie	Pleasantville	1998	7.5	135788
tt0120794	movie	The Prince of Egypt	1998	7.2	144870
tt0120815	movie	Saving Private Ryan	1998	8.6	1485887
tt0120855	movie	Tarzan	1999	7.3	245324
tt0120863	movie	The Thin Red Line	1998	7.6	198571
tt0120903	movie	X-Men	2000	7.3	642993
tt0120917	movie	The Emperor's New Groove	2000	7.4	223632
tt0121164	movie	Corpse Bride	2005	7.4	297056
tt0121766	movie	Star Wars: Episode III - Revenge of the Sith	2005	7.6	839957
tt0121955	tvSeries	South Park	1997	8.7	403572
tt0122690	movie	Ronin	1998	7.2	194023
tt0123755	movie	Cube	1997	7.1	246467
tt0124315	movie	The Cider House Rules	1999	7.4	104365
tt0125439	movie	Notting Hill	1999	7.2	339609
tt0125664	movie	Man on the Moon	1999	7.4	136960
tt0126029	movie	Shrek	2001	7.9	728484
tt0126886	movie	Election	1999	7.3	103915
tt0127536	movie	Elizabeth	1998	7.4	104731
tt0128442	movie	Rounders	1998	7.3	159507
tt0128445	movie	Rushmore	1998	7.6	197126
tt0129167	movie	The Iron Giant	1999	8.1	224745
tt0129387	movie	There's Something About Mary	1998	7.1	327362
tt0130827	movie	Run Lola Run	1998	7.7	206236
tt0133093	movie	The Matrix	1999	8.7	2036553
tt0133240	movie	Treasure Planet	2002	7.2	131881
tt0134119	movie	The Talented Mr. Ripley	1999	7.4	235637
tt0137523	movie	Fight Club	1999	8.8	2301612
tt0138097	movie	Shakespeare in Love	1998	7.1	233531
tt0138704	movie	Pi	1998	7.3	185856
tt0139654	movie	Training Day	2001	7.7	469589
tt0140352	movie	The Insider	1999	7.8	179362
tt0141842	tvSeries	The Sopranos	1999	9.2	463668
tt0144084	movie	American Psycho	2000	7.6	706649
tt0144117	movie	The Boondock Saints	1999	7.7	249308
tt0145487	movie	Spider-Man	2002	7.4	872974
tt0146882	movie	High Fidelity	2000	7.4	188955
tt0147800	movie	10 Things I Hate About You	1999	7.3	380743
tt0149460	tvSeries	Futurama	1999	8.5	259356
tt0151804	movie	Office Space	1999	7.6	285883
tt0154506	movie	Following	1998	7.5	100911
tt0158983	movie	South Park: Bigger, Longer & Uncut	1999	7.7	214144
tt0159097	movie	The Virgin Suicides	1999	7.2	168039
tt0159206	tvSeries	Sex and the City	1998	7.3	141271
tt0159365	movie	Cold Mountain	2003	7.2	155443
tt0162222	movie	Cast Away	2000	7.8	634525
tt0162346	movie	Ghost World	2001	7.3	126273
tt0162661	movie	Sleepy Hollow	1999	7.3	382060
tt0165598	tvSeries	That '70s Show	1998	8.1	188468
tt0166924	movie	Mulholland Drive	2001	7.9	381391
tt0167260	movie	The Lord of the Rings: The Return of the King	2003	9.0	1963343
tt0167261	movie	The Lord of the Rings: The Two Towers	2002	8.8	1770153
tt0167404	movie	The Sixth Sense	1999	8.2	1044992
tt0168629	movie	Dancer in the Dark	2000	7.9	116216
tt0169102	movie	Lagaan: Once Upon a Time in India	2001	8.1	120228
tt0169547	movie	American Beauty	1999	8.3	1205124
tt0171804	movie	Boys Don't Cry	1999	7.5	102917
tt0172493	movie	Girl, Interrupted	1999	7.3	209475
tt0172495	movie	Gladiator	2000	8.5	1606783
tt0174856	movie	The Hurricane	1999	7.6	102030
tt0175880	movie	Magnolia	1999	8.0	327009
tt0177789	movie	Galaxy Quest	1999	7.4	176779
tt0180093	movie	Requiem for a Dream	2000	8.3	893305
tt0181689	movie	Minority Report	2002	7.6	581281
tt0181865	movie	Traffic	2000	7.6	218896
tt0181875	movie	Almost Famous	2000	7.9	291907
tt0182576	tvSeries	Family Guy	1999	8.1	362101
tt0183649	movie	Phone Booth	2002	7.1	284402
tt0185125	movie	All About My Mother	1999	7.8	102389
tt0186151	movie	Frequency	2000	7.4	115186
tt0187393	movie	The Patriot	2000	7.2	291815
tt0190332	movie	Crouching Tiger, Hidden Dragon	2000	7.9	280730
tt0190590	movie	O Brother, Where Art Thou?	2000	7.7	329109
tt0193676	tvSeries	Freaks and Geeks	1999	8.8	152421
tt0195685	movie	Erin Brockovich	2000	7.4	219069
tt0198781	movie	Monsters, Inc.	2001	8.1	971979
tt0200465	movie	The Bank Job	2008	7.2	188599
tt0203009	movie	Moulin Rouge!	2001	7.6	298050
tt0203019	movie	Men of Honor	2000	7.2	124619
tt0203259	tvSeries	Law & Order: Special Victims Unit	1999	8.1	122514
tt0206512	tvSeries	SpongeBob SquarePants	1999	8.2	110248
tt0206634	movie	Children of Men	2006	7.9	526896
tt0208092	movie	Snatch	2000	8.2	904018
tt0209144	movie	Memento	2000	8.4	1314015
tt0210945	movie	Remember the Titans	2000	7.8	230678
tt0211915	movie	Amélie	2001	8.3	790907
tt0212671	tvSeries	Malcolm in the Middle	2000	8.2	141556
tt0212720	movie	A.I. Artificial Intelligence	2001	7.2	321669
tt0213338	tvSeries	Cowboy Bebop	1998	8.9	136963
tt0213847	movie	Malena	2000	7.4	111259
tt0214341	tvSeries	Dragon Ball Z	1989	8.8	145736
tt0215750	movie	Enemy at the Gates	2001	7.5	276375
tt0217505	movie	Gangs of New York	2002	7.5	470416
tt0217869	movie	Unbreakable	2000	7.3	438828
tt0221027	movie	Blow	2001	7.5	273910
tt0223897	movie	Pay It Forward	2000	7.2	123551
